Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2024-01-01 00:00:00,France,France,FR,15.68,29.65,96.44,32.87,entsoe.eu; opendata.reseaux-energies.fr
2024-01-02 00:00:00,France,France,FR,13.61,26.46,96.94,36.33,entsoe.eu; opendata.reseaux-energies.fr
2024-01-03 00:00:00,France,France,FR,13.37,26.37,96.90,34.75,entsoe.eu; opendata.reseaux-energies.fr
2024-01-04 00:00:00,France,France,FR,23.81,38.96,94.46,31.99,entsoe.eu; opendata.reseaux-energies.fr
2024-01-05 00:00:00,France,France,FR,29.04,45.71,93.11,27.31,entsoe.eu; opendata.reseaux-energies.fr
2024-01-06 00:00:00,France,France,FR,24.38,39.98,94.25,26.64,entsoe.eu; opendata.reseaux-energies.fr
2024-01-07 00:00:00,France,France,FR,22.48,37.71,94.65,27.16,entsoe.eu; opendata.reseaux-energies.fr
2024-01-08 00:00:00,France,France,FR,40.46,60.10,90.31,28.19,entsoe.eu; opendata.reseaux-energies.fr
2024-01-09 00:00:00,France,France,FR,53.76,76.97,87.41,24.33,entsoe.eu; opendata.reseaux-energies.fr
2024-01-10 00:00:00,France,France,FR,55.03,78.14,87.09,22.80,entsoe.eu; opendata.reseaux-energies.fr
2024-01-11 00:00:00,France,France,FR,52.05,74.40,87.88,26.08,entsoe.eu; opendata.reseaux-energies.fr
2024-01-12 00:00:00,France,France,FR,56.12,78.41,87.55,25.37,entsoe.eu; opendata.reseaux-energies.fr
2024-01-13 00:00:00,France,France,FR,56.70,79.40,87.62,21.81,entsoe.eu; opendata.reseaux-energies.fr
2024-01-14 00:00:00,France,France,FR,39.81,58.46,91.40,21.85,entsoe.eu; opendata.reseaux-energies.fr
2024-01-15 00:00:00,France,France,FR,44.96,64.79,89.85,22.14,entsoe.eu; opendata.reseaux-energies.fr
2024-01-16 00:00:00,France,France,FR,52.29,73.85,88.14,21.91,entsoe.eu; opendata.reseaux-energies.fr
2024-01-17 00:00:00,France,France,FR,41.59,60.61,90.49,26.17,entsoe.eu; opendata.reseaux-energies.fr
2024-01-18 00:00:00,France,France,FR,41.08,60.78,90.09,24.26,entsoe.eu; opendata.reseaux-energies.fr
2024-01-19 00:00:00,France,France,FR,50.40,72.82,88.03,21.79,entsoe.eu; opendata.reseaux-energies.fr
2024-01-20 00:00:00,France,France,FR,43.43,64.31,89.69,25.30,entsoe.eu; opendata.reseaux-energies.fr
2024-01-21 00:00:00,France,France,FR,16.65,30.70,96.07,30.84,entsoe.eu; opendata.reseaux-energies.fr
2024-01-22 00:00:00,France,France,FR,13.74,26.71,96.81,33.03,entsoe.eu; opendata.reseaux-energies.fr
2024-01-23 00:00:00,France,France,FR,19.62,34.19,95.39,30.73,entsoe.eu; opendata.reseaux-energies.fr
2024-01-24 00:00:00,France,France,FR,18.68,31.84,96.30,30.22,entsoe.eu; opendata.reseaux-energies.fr
2024-01-25 00:00:00,France,France,FR,28.94,44.24,93.88,24.85,entsoe.eu; opendata.reseaux-energies.fr
2024-01-26 00:00:00,France,France,FR,19.59,33.00,95.92,26.61,entsoe.eu; opendata.reseaux-energies.fr
2024-01-27 00:00:00,France,France,FR,20.47,35.14,95.26,23.44,entsoe.eu; opendata.reseaux-energies.fr
2024-01-28 00:00:00,France,France,FR,16.33,30.04,96.21,27.22,entsoe.eu; opendata.reseaux-energies.fr
2024-01-29 00:00:00,France,France,FR,29.98,46.00,93.47,27.36,entsoe.eu; opendata.reseaux-energies.fr
2024-01-30 00:00:00,France,France,FR,37.01,54.81,91.79,23.86,entsoe.eu; opendata.reseaux-energies.fr
2024-01-31 00:00:00,France,France,FR,37.34,55.27,91.80,23.27,entsoe.eu; opendata.reseaux-energies.fr
2024-02-01 00:00:00,France,France,FR,33.65,50.24,92.76,23.05,entsoe.eu; opendata.reseaux-energies.fr
2024-02-02 00:00:00,France,France,FR,20.26,34.75,95.41,25.22,entsoe.eu; opendata.reseaux-energies.fr
2024-02-03 00:00:00,France,France,FR,19.88,34.49,95.64,25.06,entsoe.eu; opendata.reseaux-energies.fr
2024-02-04 00:00:00,France,France,FR,19.87,34.97,95.59,26.54,entsoe.eu; opendata.reseaux-energies.fr
2024-02-05 00:00:00,France,France,FR,20.36,34.49,95.81,28.42,entsoe.eu; opendata.reseaux-energies.fr
2024-02-06 00:00:00,France,France,FR,15.46,28.94,96.52,29.78,entsoe.eu; opendata.reseaux-energies.fr
2024-02-07 00:00:00,France,France,FR,15.42,28.66,96.61,32.70,entsoe.eu; opendata.reseaux-energies.fr
2024-02-08 00:00:00,France,France,FR,15.17,28.97,96.49,31.22,entsoe.eu; opendata.reseaux-energies.fr
2024-02-09 00:00:00,France,France,FR,16.71,31.20,96.17,31.19,opendata.reseaux-energies.fr
2024-02-10 00:00:00,France,France,FR,22.96,38.77,94.77,28.98,opendata.reseaux-energies.fr
2024-02-11 00:00:00,France,France,FR,20.15,35.73,95.37,31.86,entsoe.eu; opendata.reseaux-energies.fr
2024-02-12 00:00:00,France,France,FR,45.14,65.49,89.86,24.56,entsoe.eu; opendata.reseaux-energies.fr
2024-02-13 00:00:00,France,France,FR,36.20,54.23,92.41,28.35,entsoe.eu; opendata.reseaux-energies.fr
2024-02-14 00:00:00,France,France,FR,31.64,48.74,93.24,28.75,entsoe.eu; opendata.reseaux-energies.fr
2024-02-15 00:00:00,France,France,FR,25.00,40.53,94.72,28.23,entsoe.eu; opendata.reseaux-energies.fr
2024-02-16 00:00:00,France,France,FR,23.59,39.30,94.60,28.09,entsoe.eu; opendata.reseaux-energies.fr
2024-02-17 00:00:00,France,France,FR,23.07,39.19,94.65,24.33,entsoe.eu; opendata.reseaux-energies.fr
2024-02-18 00:00:00,France,France,FR,18.24,33.55,95.68,27.84,entsoe.eu; opendata.reseaux-energies.fr
2024-02-19 00:00:00,France,France,FR,29.05,45.26,93.92,26.75,entsoe.eu; opendata.reseaux-energies.fr
2024-02-20 00:00:00,France,France,FR,33.79,51.45,92.80,25.60,entsoe.eu; opendata.reseaux-energies.fr
2024-02-21 00:00:00,France,France,FR,26.05,41.88,94.47,30.74,entsoe.eu; opendata.reseaux-energies.fr
2024-02-22 00:00:00,France,France,FR,17.36,32.24,95.96,35.09,entsoe.eu; opendata.reseaux-energies.fr
2024-02-23 00:00:00,France,France,FR,24.09,40.41,94.57,34.16,entsoe.eu; opendata.reseaux-energies.fr
2024-02-24 00:00:00,France,France,FR,27.04,44.38,93.71,33.96,entsoe.eu; opendata.reseaux-energies.fr
2024-02-25 00:00:00,France,France,FR,21.17,36.89,95.10,33.16,entsoe.eu; opendata.reseaux-energies.fr
2024-02-26 00:00:00,France,France,FR,36.46,56.45,91.21,33.36,entsoe.eu; opendata.reseaux-energies.fr
2024-02-27 00:00:00,France,France,FR,50.97,73.08,88.47,31.04,entsoe.eu; opendata.reseaux-energies.fr
2024-02-28 00:00:00,France,France,FR,54.97,78.36,87.59,27.76,entsoe.eu; opendata.reseaux-energies.fr
2024-02-29 00:00:00,France,France,FR,31.53,48.89,93.38,32.27,entsoe.eu; opendata.reseaux-energies.fr
2024-03-01 00:00:00,France,France,FR,25.01,41.33,94.48,35.60,entsoe.eu; opendata.reseaux-energies.fr
2024-03-02 00:00:00,France,France,FR,23.94,40.54,94.46,31.34,entsoe.eu; opendata.reseaux-energies.fr
2024-03-03 00:00:00,France,France,FR,27.98,45.42,93.53,26.72,entsoe.eu; opendata.reseaux-energies.fr
2024-03-04 00:00:00,France,France,FR,44.41,66.25,89.18,26.37,entsoe.eu; opendata.reseaux-energies.fr
2024-03-05 00:00:00,France,France,FR,48.55,71.61,88.29,26.36,entsoe.eu; opendata.reseaux-energies.fr
2024-03-06 00:00:00,France,France,FR,49.05,71.87,88.12,24.56,entsoe.eu; opendata.reseaux-energies.fr
2024-03-07 00:00:00,France,France,FR,33.22,52.42,92.03,31.31,entsoe.eu; opendata.reseaux-energies.fr
2024-03-08 00:00:00,France,France,FR,20.88,36.47,95.09,31.83,entsoe.eu; opendata.reseaux-energies.fr
2024-03-09 00:00:00,France,France,FR,16.76,31.26,96.14,31.74,entsoe.eu; opendata.reseaux-energies.fr
2024-03-10 00:00:00,France,France,FR,23.68,39.92,94.47,24.01,entsoe.eu; opendata.reseaux-energies.fr
2024-03-11 00:00:00,France,France,FR,35.77,55.07,91.42,27.84,entsoe.eu; opendata.reseaux-energies.fr
2024-03-12 00:00:00,France,France,FR,36.27,55.89,91.21,29.57,entsoe.eu; opendata.reseaux-energies.fr
2024-03-13 00:00:00,France,France,FR,25.15,41.70,94.12,28.43,entsoe.eu; opendata.reseaux-energies.fr
2024-03-14 00:00:00,France,France,FR,20.25,35.86,95.45,32.00,entsoe.eu; opendata.reseaux-energies.fr
2024-03-15 00:00:00,France,France,FR,14.68,29.49,96.57,35.19,opendata.reseaux-energies.fr
2024-03-16 00:00:00,France,France,FR,18.58,33.98,95.81,29.02,opendata.reseaux-energies.fr
2024-03-17 00:00:00,France,France,FR,18.72,33.96,95.83,27.26,opendata.reseaux-energies.fr
2024-03-18 00:00:00,France,France,FR,21.94,37.85,95.02,27.46,opendata.reseaux-energies.fr
2024-03-19 00:00:00,France,France,FR,22.93,39.76,94.74,28.14,opendata.reseaux-energies.fr
2024-03-20 00:00:00,France,France,FR,18.70,34.38,95.81,28.87,opendata.reseaux-energies.fr
2024-03-21 00:00:00,France,France,FR,18.16,33.47,96.06,29.17,opendata.reseaux-energies.fr
2024-03-22 00:00:00,France,France,FR,16.44,31.65,96.35,30.84,opendata.reseaux-energies.fr
2024-03-23 00:00:00,France,France,FR,17.82,35.28,95.87,40.49,opendata.reseaux-energies.fr
