Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2021-01-01 00:00:00,France,France,FR,40.43,60.97,91.2,15.73,opendata.reseaux-energies.fr,False,
2021-01-01 01:00:00,France,France,FR,40.26,60.82,91.43,16.5,opendata.reseaux-energies.fr,False,
2021-01-01 02:00:00,France,France,FR,31.71,50.82,92.58,15.61,opendata.reseaux-energies.fr,False,
2021-01-01 03:00:00,France,France,FR,27.53,45.85,93.18,15.44,opendata.reseaux-energies.fr,False,
2021-01-01 04:00:00,France,France,FR,28.2,46.49,93.21,14.94,opendata.reseaux-energies.fr,False,
2021-01-01 05:00:00,France,France,FR,31.82,50.83,92.65,15.15,opendata.reseaux-energies.fr,False,
2021-01-01 06:00:00,France,France,FR,31.13,49.87,92.95,16.55,opendata.reseaux-energies.fr,False,
2021-01-01 07:00:00,France,France,FR,30.78,49.34,93.05,16.24,opendata.reseaux-energies.fr,False,
2021-01-01 08:00:00,France,France,FR,29.98,48.42,93.18,15.95,opendata.reseaux-energies.fr,False,
2021-01-01 09:00:00,France,France,FR,31.29,50.27,92.95,16.98,opendata.reseaux-energies.fr,False,
2021-01-01 10:00:00,France,France,FR,31.06,50.28,92.97,18.07,opendata.reseaux-energies.fr,False,
2021-01-01 11:00:00,France,France,FR,33.36,53.18,92.7,18.95,opendata.reseaux-energies.fr,False,
2021-01-01 12:00:00,France,France,FR,29.99,49.07,93.16,18.98,opendata.reseaux-energies.fr,False,
2021-01-01 13:00:00,France,France,FR,25.19,43.28,93.77,18.59,opendata.reseaux-energies.fr,False,
2021-01-01 14:00:00,France,France,FR,26.79,45.26,93.3,17.77,opendata.reseaux-energies.fr,False,
2021-01-01 15:00:00,France,France,FR,30.44,49.7,92.35,16.48,opendata.reseaux-energies.fr,False,
2021-01-01 16:00:00,France,France,FR,34.36,54.59,91.41,16.02,opendata.reseaux-energies.fr,False,
2021-01-01 17:00:00,France,France,FR,35.17,55.03,91.48,19.36,opendata.reseaux-energies.fr,False,
2021-01-01 18:00:00,France,France,FR,41.64,62.7,90.58,19.96,opendata.reseaux-energies.fr,False,
2021-01-01 19:00:00,France,France,FR,40.55,61.61,90.49,18.68,opendata.reseaux-energies.fr,False,
2021-01-01 20:00:00,France,France,FR,42.0,63.47,90.18,16.0,opendata.reseaux-energies.fr,False,
2021-01-01 21:00:00,France,France,FR,44.26,66.17,90.05,15.01,opendata.reseaux-energies.fr,False,
2021-01-01 22:00:00,France,France,FR,48.51,71.12,89.41,15.27,opendata.reseaux-energies.fr,False,
2021-01-01 23:00:00,France,France,FR,40.91,61.53,90.94,15.04,opendata.reseaux-energies.fr,False,
2021-01-02 00:00:00,France,France,FR,37.76,57.73,91.9,14.76,opendata.reseaux-energies.fr,False,
2021-01-02 01:00:00,France,France,FR,34.89,54.62,92.05,14.87,opendata.reseaux-energies.fr,False,
2021-01-02 02:00:00,France,France,FR,32.09,51.05,92.61,14.7,opendata.reseaux-energies.fr,False,
2021-01-02 03:00:00,France,France,FR,27.95,46.04,93.29,15.18,opendata.reseaux-energies.fr,False,
2021-01-02 04:00:00,France,France,FR,31.24,50.05,92.68,15.43,opendata.reseaux-energies.fr,False,
2021-01-02 05:00:00,France,France,FR,33.46,52.54,92.48,15.55,opendata.reseaux-energies.fr,False,
2021-01-02 06:00:00,France,France,FR,39.23,59.63,91.36,15.44,opendata.reseaux-energies.fr,False,
2021-01-02 07:00:00,France,France,FR,42.47,63.88,90.41,15.5,opendata.reseaux-energies.fr,False,
2021-01-02 08:00:00,France,France,FR,47.81,70.28,89.4,16.97,opendata.reseaux-energies.fr,False,
2021-01-02 09:00:00,France,France,FR,48.94,71.75,89.11,18.64,opendata.reseaux-energies.fr,False,
2021-01-02 10:00:00,France,France,FR,47.23,69.92,89.33,20.09,opendata.reseaux-energies.fr,False,
2021-01-02 11:00:00,France,France,FR,48.68,71.87,89.02,21.15,opendata.reseaux-energies.fr,False,
2021-01-02 12:00:00,France,France,FR,44.77,67.24,89.51,21.74,opendata.reseaux-energies.fr,False,
2021-01-02 13:00:00,France,France,FR,41.97,63.98,89.86,20.33,opendata.reseaux-energies.fr,False,
2021-01-02 14:00:00,France,France,FR,39.44,61.06,90.08,19.43,opendata.reseaux-energies.fr,False,
2021-01-02 15:00:00,France,France,FR,40.53,62.12,89.85,18.79,opendata.reseaux-energies.fr,False,
2021-01-02 16:00:00,France,France,FR,43.1,64.92,89.71,19.23,opendata.reseaux-energies.fr,False,
2021-01-02 17:00:00,France,France,FR,48.47,70.97,89.14,20.71,opendata.reseaux-energies.fr,False,
2021-01-02 18:00:00,France,France,FR,53.71,77.04,88.4,21.1,opendata.reseaux-energies.fr,False,
2021-01-02 19:00:00,France,France,FR,55.53,79.26,88.0,19.11,opendata.reseaux-energies.fr,False,
2021-01-02 20:00:00,France,France,FR,58.79,83.28,87.47,16.67,opendata.reseaux-energies.fr,False,
2021-01-02 21:00:00,France,France,FR,58.66,83.09,87.66,15.18,opendata.reseaux-energies.fr,False,
2021-01-02 22:00:00,France,France,FR,60.99,85.66,87.51,15.78,opendata.reseaux-energies.fr,False,
2021-01-02 23:00:00,France,France,FR,53.81,77.1,88.96,15.96,opendata.reseaux-energies.fr,False,
2021-01-03 00:00:00,France,France,FR,48.75,70.68,90.48,16.77,opendata.reseaux-energies.fr,False,
2021-01-03 01:00:00,France,France,FR,45.0,66.2,91.15,16.08,opendata.reseaux-energies.fr,False,
2021-01-03 02:00:00,France,France,FR,39.53,59.7,91.82,14.74,opendata.reseaux-energies.fr,False,
2021-01-03 03:00:00,France,France,FR,36.03,55.53,92.4,14.64,opendata.reseaux-energies.fr,False,
2021-01-03 04:00:00,France,France,FR,36.82,56.56,92.26,14.36,opendata.reseaux-energies.fr,False,
2021-01-03 05:00:00,France,France,FR,39.14,59.24,92.02,14.55,opendata.reseaux-energies.fr,False,
2021-01-03 06:00:00,France,France,FR,41.32,61.94,91.71,15.16,opendata.reseaux-energies.fr,False,
